Timestamp,Symbol,From52wh,3d range,5d,Sector,Industry,Free float,Scan_Date
2026-07-10T18:50:20.813,BALAMINES,0.21,17.48,17.64,chemicals,chemicals,3553.38,2026-07-10
2026-07-10T18:50:20.813,MANGLMCEM,0.54,5.34,5.34,building materials,cement - north india,1588.31,2026-07-10
2026-07-10T18:50:20.813,GOODLUCK,0.58,9.38,9.91,metals & mining,steel - medium / small,2266.79,2026-07-10
2026-07-10T18:50:20.813,INDSWFTLAB,0.63,15.24,16.51,healthcare,pharmaceuticals - indian - bulk drugs & formln,1219.93,2026-07-10
2026-07-10T18:50:20.813,MMFL,0.68,7.7,8.37,industrials,castings & forgings,1103.42,2026-07-10
2026-07-10T18:50:20.813,AKUMS,0.77,10.58,14.1,healthcare,pharmaceuticals - indian - bulk drugs & formln,2733.29,2026-07-10
2026-07-10T18:50:20.813,NORTHARC,0.82,12.12,12.12,financials,finance & investments,5255.93,2026-07-10
2026-07-10T18:50:20.813,UNIPARTS,0.83,11.27,11.27,industrials,engineering,1085.88,2026-07-10
2026-07-10T18:50:20.813,AUTOIND,0.88,11.94,19.41,auto,auto ancillaries,298.61,2026-07-10
2026-07-10T18:50:20.813,EQUITASBNK,0.92,9.83,10.08,bank,banks - private sector,9383.94,2026-07-10
2026-07-10T18:50:20.813,UFBL,0.99,12.38,12.38,consumer discretionary,hotels,1932.29,2026-07-10
2026-07-10T18:50:20.813,NEOGEN,0.99,9.69,9.69,chemicals,chemicals,2682.88,2026-07-10
2026-07-10T18:50:20.813,RPGLIFE,1.11,22.06,22.06,healthcare,pharmaceuticals - indian - bulk drugs & formln,1278.09,2026-07-10
2026-07-10T18:50:20.813,KMEW,1.12,10.11,10.41,transportation,miscellaneous,2734.9,2026-07-10
2026-07-10T18:50:20.813,JINDALSAW,1.13,12.21,12.21,industrials,steel - large,6482.61,2026-07-10
2026-07-10T18:50:20.813,SKMEGGPROD,1.14,11.39,11.39,fmcg,food - processing - indian,719.7,2026-07-10
2026-07-10T18:50:20.813,HAPPYFORGE,1.15,8.21,8.71,industrials,castings & forgings,3207.86,2026-07-10
2026-07-10T18:50:20.813,GREAVESCOT,1.27,21.52,23.16,industrials,engines,2714.68,2026-07-10
2026-07-10T18:50:20.813,INDNIPPON,1.31,20.56,20.56,auto,auto ancillaries,783.21,2026-07-10
2026-07-10T18:50:20.813,GNA,1.37,6.41,6.41,auto,auto ancillaries,644.37,2026-07-10
2026-07-10T18:50:20.813,BAJAJCON,1.41,11.36,11.36,fmcg,personal care - indian,4992.91,2026-07-10
2026-07-10T18:50:20.813,MEGASTAR,1.42,9.07,9.07,fmcg,food - processing - indian,165.59,2026-07-10
2026-07-10T18:50:20.813,PGHL,1.47,11.91,11.91,healthcare,pharmaceuticals - multinational,5470.04,2026-07-10
2026-07-10T18:50:20.813,SUPRAJIT,1.67,6.96,7.12,auto,auto ancillaries,3830.05,2026-07-10
2026-07-10T18:50:20.813,CCL,1.8,4.88,5.29,fmcg,tea,8735.71,2026-07-10
2026-07-10T18:50:20.813,RML,1.84,11.66,11.66,auto,auto ancillaries,1061.26,2026-07-10
2026-07-10T18:50:20.813,LLOYDSENGG,2.15,12.22,14.31,industrials,engineering,7788.62,2026-07-10
2026-07-10T18:50:20.813,STYLAMIND,2.16,11.12,11.76,building materials,miscellaneous,2554.95,2026-07-10
2026-07-10T18:50:20.813,PAISALO,2.22,7.08,7.68,financials,finance & investments,3549.46,2026-07-10
2026-07-10T18:50:20.813,SFL,2.26,6.72,6.72,consumer discretionary,miscellaneous,2854.67,2026-07-10
2026-07-10T18:50:20.813,INDOBORAX,2.29,12.59,17.26,chemicals,chemicals,1007.79,2026-07-10
2026-07-10T18:50:20.813,ZYDUSWELL,2.39,8.5,9.76,fmcg,food - processing - indian,5723.64,2026-07-10
2026-07-10T18:50:20.813,RANEHOLDIN,2.41,7.54,7.54,financials,finance & investments,1366.52,2026-07-10
2026-07-10T18:50:20.813,AETHER,2.45,17.7,17.89,chemicals,chemicals,4989.04,2026-07-10
2026-07-10T18:50:20.813,KSL,2.51,13.85,13.85,metals & mining,steel - medium / small,1478.02,2026-07-10
2026-07-10T18:50:20.813,TRIVENI,2.56,4.43,5.56,fmcg,sugar,3949.21,2026-07-10
2026-07-10T18:50:20.813,PPAP,2.58,36.43,36.43,auto,auto ancillaries,162.14,2026-07-10
2026-07-10T18:50:20.813,PRIVISCL,2.59,4.91,5.35,chemicals,chemicals,5637.32,2026-07-10
2026-07-10T18:50:20.813,ALIVUS,2.83,6.97,6.97,healthcare,pharmaceuticals - indian - bulk drugs & formln,3577.76,2026-07-10
2026-07-10T18:50:20.813,HNDFDS,2.89,8.56,9.7,fmcg,diversified - large,2625.69,2026-07-10
2026-07-10T18:50:20.813,SANGHVIMOV,2.91,8.49,8.49,miscellaneous,miscellaneous,2097.38,2026-07-10
2026-07-10T18:50:20.813,TEXINFRA,2.97,3.31,6.31,realty,construction,490.19,2026-07-10
2026-07-10T18:50:20.813,GANDHAR,3.17,12.19,14.02,energy,refineries,666.73,2026-07-10
2026-07-10T18:50:20.813,MARKSANS,3.27,8.73,9.36,healthcare,pharmaceuticals - indian - formulations,6928.27,2026-07-10
2026-07-10T18:50:20.813,FUSION,3.29,11.62,11.62,financials,finance & investments,1724.16,2026-07-10
2026-07-10T18:50:20.813,USHAMART,3.3,6.17,6.96,metals & mining,steel - medium / small,9342.38,2026-07-10
2026-07-10T18:50:20.813,RAIN,3.32,6.9,12.58,miscellaneous,miscellaneous,4084.54,2026-07-10
2026-07-10T18:50:20.813,SURYODAY,3.39,7.95,9.23,bank,banks - private sector,1518.59,2026-07-10
2026-07-10T18:50:20.813,GHCLTEXTIL,3.39,8.84,8.84,textiles,textiles - spinning - synthetic / blended,844.53,2026-07-10
2026-07-10T18:50:20.813,IRISDOREME,3.42,5.52,8.0,consumer discretionary,textiles - products,327.6,2026-07-10
2026-07-10T18:50:20.813,SUVEN,3.49,18.83,20.19,healthcare,miscellaneous,2817.02,2026-07-10
2026-07-10T18:50:20.813,EPL,3.77,5.65,6.41,industrials,packaging,5600.91,2026-07-10
2026-07-10T18:50:20.813,SHYAMMETL,3.84,6.8,6.8,metals & mining,steel - large,6917.08,2026-07-10
2026-07-10T18:50:20.813,IOLCP,3.84,11.84,24.41,healthcare,pharmaceuticals - indian - bulk drugs & formln,1894.1,2026-07-10
2026-07-10T18:50:20.813,CAPLIPOINT,3.92,7.49,7.49,healthcare,pharmaceuticals - indian - formulations,5779.34,2026-07-10
2026-07-10T18:50:20.813,ESAFSFB,3.95,12.62,12.62,bank,banks - private sector,676.46,2026-07-10
2026-07-10T18:50:20.813,MUTHOOTMF,3.98,19.51,19.51,financials,finance & investments,1786.24,2026-07-10
2026-07-10T18:50:20.813,KAMDHENU,4.15,10.26,11.13,metals & mining,steel - medium / small,474.41,2026-07-10
2026-07-10T18:50:20.813,WANBURY,4.19,12.68,12.68,healthcare,pharmaceuticals - indian - bulk drugs & formln,601.28,2026-07-10
2026-07-10T18:50:20.813,CYIENTDLM,4.2,11.02,14.83,consumer discretionary,electronics - components,2073.36,2026-07-10
2026-07-10T18:50:20.813,AURUM,4.3,6.61,8.22,i.t,computers - software - medium / small,914.37,2026-07-10
2026-07-10T18:50:20.813,RISHABH,4.43,9.43,12.2,industrials,electric equipment,777.21,2026-07-10
2026-07-10T18:50:20.813,YASHO,4.48,8.88,12.02,chemicals,chemicals,1175.36,2026-07-10
2026-07-10T18:50:20.813,J&KBANK,4.51,23.4,24.38,bank,banks - private sector,8613.08,2026-07-10
2026-07-10T18:50:20.813,AVALON,4.58,9.96,12.64,consumer discretionary,electronics - components,6561.11,2026-07-10
2026-07-10T18:50:20.813,SGIL,4.65,8.86,12.14,industrials,castings & forgings,286.25,2026-07-10
2026-07-10T18:50:20.813,SETL,4.78,14.0,14.0,industrials,engineering,2292.42,2026-07-10
2026-07-10T18:50:20.813,KDDL,4.82,8.22,8.35,consumer discretionary,miscellaneous,1982.21,2026-07-10
2026-07-10T18:50:20.813,GRAVITA,4.84,9.71,9.71,metals & mining,mining / minerals / metals,6038.7,2026-07-10
